虽然谣言很多但是现在确实对四个女孩的相关消息少之又少
作为新闻人你们去调查过没有
不要空口辟谣啊拿点证据出来可以吗所有人都希望她们好好的所以给我们看看她们都安好的证据啊
费解受害者必须出来发声吗人家本来就是受害者为什么要再出来证明他们受过的伤害然后再为一群无关紧要的人证明什么就为了满足你的吃瓜欲望汗汗汗
等热度下去就和事件一样不了了之啦太开心
但是确实是可以报道那几个受伤女孩的病情的也不是说非要挖她们的隐私呀
中国治安太好也有副作用养出了一大帮巨婴一点小事就在那哭天抢地国将不国允悲随便一搜这两年西方针对华人的恶性案件公开报道的就有十多起要知道美国的华人多万美加澳还有欧洲华人加起来最多万吧也就苏州市人口所以说华人在海外被打被杀的概率是国内的几十倍摊手摊手
到底是观察者网还是网上观察挖鼻
空口辟谣也叫辟谣
观网进来就看见营销号带节奏那些奇行种真的关心受害者吗哆啦梦害怕
谁最希望这些女孩子死看看网上是哪些人在说这些女孩子死了就有答案了
说话要有证据
从一开始的店里到最后的巷子里从调戏升级到殴打再升级成虐杀从两点多的报警到早上巷子里被清洗正常报警都是十分钟内到现场正常案件都会保留现场如果这是女孩的死亡地点为什么不被拉警戒线围起来居然还能用水清洗毁尸灭迹你说女孩还在有图吗你说女孩死了有尸体吗活不见人死不见尸死无对证
我的店铺在年被地痞要挟恐吓收保护费我打后警察没来地痞来了进门就大声恐吓我你打了吧就把我的店给砸了你们让警察来辟谣吧
我担心是坏人以此为恶我担心的是为了大部分人而无辜我还担心公信力受到破坏真相不再是真相
逼着当事受害人发声那不就还是证明吃了几碗粉的套路吗另外为啥昨天到今天又集中突然爆了一堆所谓细节那是因为今天航母下水呀
这不是表面打架打人事件大家更关注的是背后的牵扯逃犯能光明正大的出入派出所备案多次恶意伤人绑架还不受半点法律制裁
这么好被验证的谣言到现在还没有拿出事实来打造谣者的脸为什么呢
为造谣者画像
遮遮掩掩
总总越来越让我感觉女孩不是这个事件的目的而是工具
去年成都中后有多少人说不再脑热的
